# id	left	top	right	bottom	texture_id
[SPRITES]
#tree1 green
500001	288	16	303	31	30
500002	320	16	335	31	30
500003	352	16	367	31	30

500004	304	48	335	63	30

#tree2 green
500005	256	0	271	15	30

#tree white
500006	288	80	319	95	30
500007	320	80	335	95	30


#cloud
500008	288	112	303	143	30
500009	320	112	335	143	30
500010	352	112	367	143	30

#flower
500011	256	32	271	47	30

#star
500012	256	64	271	79	30

#mushroom
500013	256	96	271	111	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
