# id	left	top	right	bottom	texture_id
[SPRITES]
300001	0	0	15	15	30
300002	32	0	47	15	30
300003	64	0	79	15	30
300004	0	32	15	47	30
300005	32	32	47	47	30
300006	64	32	79	47	30
300007	0	64	15	79	30
300008	0	96	15	111	30



#metal
#hong
300009	0	128	15	143	30
300010	32	128	47	143	30
300011	64	128	79	143	30
300012	0	160	15	175	30
300013	32	160	47	175	30
300014	64	160	79	175	30
300015	0	192	15	207	30
300016	32	192	47	207	30
300017	64	192	79	207	30

#xanh da troi
300018	0	224	15	239	30
300019	32	224	47	239	30
300020	64	224	79	239	30
300021	0	256	15	271	30
300022	32	256	47	271	30
300023	64	256	79	271	30
300024	0	288	15	303	30
300025	32	288	47	303	30
300026	64	288	79	303	30

#xanh la cay
300027	0	320	15	335	30
300028	32	320	47	335	30
300029	64	320	79	335	30
300030	0	352	15	367	30
300031	32	352	47	367	30
300032	64	352	79	367	30
300033	0	384	15	399	30
300034	32	384	47	399	30
300035	64	384	79	399	30

#trang
300036	0	416	15	431	30
300037	32	416	47	431	30
300038	64	416	79	431	30
300039	0	448	15	463	30
300040	32	448	47	463	30
300041	64	448	79	463	30
300042	0	480	15	495	30
300043	32	480	47	495	30
300044	64	480	79	495	30



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
